code,iso,country,region,include,SEA,sids,ldc,lldc,arableague,asean,comwealth,eu27,g20,franco,oecd,oei,oic,opec,emmrkt
4,AFG,Afghanistan,Southern Asia,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
8,ALB,Albania,Eastern Europe,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
12,DZA,Algeria,Greater Middle East,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
20,AND,Andorra,Global West,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
24,AGO,Angola,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
660,AIA,Anguilla,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
28,ATG,Antigua and Barbuda,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
32,ARG,Argentina,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
51,ARM,Armenia,Former Soviet States,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
533,ABW,Aruba,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36,AUS,Australia,Global West,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
40,AUT,Austria,Global West,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
31,AZE,Azerbaijan,Former Soviet States,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
44,BHS,Bahamas,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
48,BHR,Bahrain,Greater Middle East,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
50,BGD,Bangladesh,Southern Asia,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
52,BRB,Barbados,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
112,BLR,Belarus,Former Soviet States,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,BEL,Belgium,Global West,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
84,BLZ,Belize,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
204,BEN,Benin,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
60,BMU,Bermuda,Global West,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64,BTN,Bhutan,Southern Asia,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
68,BOL,Bolivia,Latin America & Caribbean,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
70,BIH,Bosnia and Herzegovina,Eastern Europe,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,BWA,Botswana,Sub-Saharan Africa,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
76,BRA,Brazil,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
92,VGB,British Virgin Islands,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
96,BRN,Brunei Darussalam,Asia-Pacific,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
100,BGR,Bulgaria,Eastern Europe,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
854,BFA,Burkina Faso,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False
108,BDI,Burundi,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False
132,CPV,Cabo Verde,Sub-Saharan Africa,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
116,KHM,Cambodia,Asia-Pacific,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
120,CMR,Cameroon,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
124,CAN,Canada,Global West,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
136,CYM,Cayman Islands,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
140,CAF,Central African Republic,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False
148,TCD,Chad,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False
152,CHL,Chile,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
156,CHN,China,Asia-Pacific,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
170,COL,Colombia,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
174,COM,Comoros,Sub-Saharan Africa,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
184,COK,Cook Islands,Asia-Pacific,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
188,CRI,Costa Rica,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
191,HRV,Croatia,Eastern Europe,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
192,CUB,Cuba,Latin America & Caribbean,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
531,CUW,Curacao,Latin America & Caribbean,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
196,CYP,Cyprus,Eastern Europe,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
203,CZE,Czech Republic,Eastern Europe,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
180,COD,Dem. Rep. Congo,Sub-Saharan Africa,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
208,DNK,Denmark,Global West,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
262,DJI,Djibouti,Sub-Saharan Africa,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
212,DMA,Dominica,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
214,DOM,Dominican Republic,Latin America & Caribbean,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
218,ECU,Ecuador,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
818,EGY,Egypt,Greater Middle East,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
222,SLV,El Salvador,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
232,ERI,Eritrea,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
233,EST,Estonia,Eastern Europe,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
748,SWZ,Eswatini,Sub-Saharan Africa,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
231,ETH,Ethiopia,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
234,FRO,Faeroe Islands,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
238,FLK,Falkland Islands,Latin America & Caribbean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
242,FJI,Fiji,Asia-Pacific,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
246,FIN,Finland,Global West,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
250,FRA,France,Global West,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False
258,PYF,French Polynesia,Asia-Pacific,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
266,GAB,Gabon,Sub-Saharan Africa,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
270,GMB,Gambia,Sub-Saharan Africa,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
268,GEO,Georgia,Former Soviet States,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
276,DEU,Germany,Global West,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
288,GHA,Ghana,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
300,GRC,Greece,Eastern Europe,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
304,GRL,Greenland,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
308,GRD,Grenada,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
320,GTM,Guatemala,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
831,GGY,Guernsey,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,GIN,Guinea,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
624,GNB,Guinea-Bissau,Sub-Saharan Africa,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
328,GUY,Guyana,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
332,HTI,Haiti,Latin America & Caribbean,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
336,VAT,Holy See,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
340,HND,Honduras,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
344,HKG,Hong Kong,Asia-Pacific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
348,HUN,Hungary,Eastern Europe,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
352,ISL,Iceland,Global West,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
356,IND,India,Southern Asia,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
360,IDN,Indonesia,Asia-Pacific,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
364,IRN,Iran,Greater Middle East,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
368,IRQ,Iraq,Greater Middle East,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
372,IRL,Ireland,Global West,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
833,IMN,Isle of Man,Global West,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
376,ISR,Israel,Greater Middle East,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
380,ITA,Italy,Global West,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
388,JAM,Jamaica,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
392,JPN,Japan,Asia-Pacific,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
832,JEY,Jersey,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
400,JOR,Jordan,Greater Middle East,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
398,KAZ,Kazakhstan,Former Soviet States,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
404,KEN,Kenya,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
296,KIR,Kiribati,Asia-Pacific,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
689,XKX,Kosovo,Eastern Europe,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
414,KWT,Kuwait,Greater Middle East,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True
417,KGZ,Kyrgyzstan,Former Soviet States,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
418,LAO,Laos,Asia-Pacific,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False
428,LVA,Latvia,Eastern Europe,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
422,LBN,Lebanon,Greater Middle East,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
426,LSO,Lesotho,Sub-Saharan Africa,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
430,LBR,Liberia,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
434,LBY,Libya,Greater Middle East,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
438,LIE,Liechtenstein,Global West,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
440,LTU,Lithuania,Eastern Europe,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
442,LUX,Luxembourg,Global West,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False
446,MAC,Macao,Asia-Pacific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
450,MDG,Madagascar,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
454,MWI,Malawi,Sub-Saharan Africa,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
458,MYS,Malaysia,Asia-Pacific,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True
462,MDV,Maldives,Southern Asia,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
466,MLI,Mali,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False
470,MLT,Malta,Global West,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
584,MHL,Marshall Islands,Asia-Pacific,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
478,MRT,Mauritania,Sub-Saharan Africa,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
480,MUS,Mauritius,Sub-Saharan Africa,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
484,MEX,Mexico,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True
583,FSM,Micronesia,Asia-Pacific,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
498,MDA,Moldova,Former Soviet States,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
492,MCO,Monaco,Global West,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
496,MNG,Mongolia,Asia-Pacific,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
499,MNE,Montenegro,Eastern Europe,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
504,MAR,Morocco,Greater Middle East,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
508,MOZ,Mozambique,Sub-Saharan Africa,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
104,MMR,Myanmar,Asia-Pacific,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
516,NAM,Namibia,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
520,NRU,Nauru,Asia-Pacific,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
524,NPL,Nepal,Southern Asia,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
528,NLD,Netherlands,Global West,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
540,NCL,New Caledonia,Asia-Pacific,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
554,NZL,New Zealand,Global West,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
558,NIC,Nicaragua,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
562,NER,Niger,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False
566,NGA,Nigeria,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
570,NIU,Niue,Asia-Pacific,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
408,PRK,North Korea,Asia-Pacific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
807,MKD,North Macedonia,Eastern Europe,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
578,NOR,Norway,Global West,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
512,OMN,Oman,Greater Middle East,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
586,PAK,Pakistan,Southern Asia,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
585,PLW,Palau,Asia-Pacific,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
591,PAN,Panama,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
598,PNG,Papua New Guinea,Asia-Pacific,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
600,PRY,Paraguay,Latin America & Caribbean,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
604,PER,Peru,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
608,PHL,Philippines,Asia-Pacific,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
616,POL,Poland,Eastern Europe,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
620,PRT,Portugal,Global West,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
634,QAT,Qatar,Greater Middle East,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
178,COG,Republic of Congo,Sub-Saharan Africa,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
642,ROU,Romania,Eastern Europe,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
643,RUS,Russia,Former Soviet States,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
646,RWA,Rwanda,Sub-Saharan Africa,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False
652,BLM,Saint Barthelemy,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
659,KNA,Saint Kitts and Nevis,Latin America & Caribbean,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
662,LCA,Saint Lucia,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
670,VCT,Saint Vincent and the Grenadines,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
882,WSM,Samoa,Asia-Pacific,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
674,SMR,San Marino,Global West,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
678,STP,Sao Tome and Principe,Sub-Saharan Africa,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
682,SAU,Saudi Arabia,Greater Middle East,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True
686,SEN,Senegal,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
688,SRB,Serbia,Eastern Europe,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
690,SYC,Seychelles,Sub-Saharan Africa,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
694,SLE,Sierra Leone,Sub-Saharan Africa,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
702,SGP,Singapore,Asia-Pacific,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
534,SXM,Sint Maarten,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
703,SVK,Slovakia,Eastern Europe,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
705,SVN,Slovenia,Eastern Europe,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
90,SLB,Solomon Islands,Asia-Pacific,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
706,SOM,Somalia,Sub-Saharan Africa,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
710,ZAF,South Africa,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
410,KOR,South Korea,Asia-Pacific,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
728,SSD,South Sudan,Sub-Saharan Africa,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
724,ESP,Spain,Global West,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
144,LKA,Sri Lanka,Southern Asia,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
275,PSE,State of Palestine,Greater Middle East,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
729,SDN,Sudan,Greater Middle East,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
740,SUR,Suriname,Latin America & Caribbean,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
752,SWE,Sweden,Global West,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
756,CHE,Switzerland,Global West,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
760,SYR,Syria,Greater Middle East,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
158,TWN,Taiwan,Asia-Pacific,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
762,TJK,Tajikistan,Former Soviet States,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
834,TZA,Tanzania,Sub-Saharan Africa,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
764,THA,Thailand,Asia-Pacific,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
626,TLS,Timor-Leste,Asia-Pacific,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
768,TGO,Togo,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
776,TON,Tonga,Asia-Pacific,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
780,TTO,Trinidad and Tobago,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
788,TUN,Tunisia,Greater Middle East,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
792,TUR,Turkey,Eastern Europe,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True
795,TKM,Turkmenistan,Former Soviet States,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
796,TCA,Turks and Caicos Islands,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
798,TUV,Tuvalu,Asia-Pacific,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
800,UGA,Uganda,Sub-Saharan Africa,True,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False
804,UKR,Ukraine,Former Soviet States,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
784,ARE,United Arab Emirates,Greater Middle East,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True
826,GBR,United Kingdom,Global West,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
840,USA,United States of America,Global West,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
858,URY,Uruguay,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
860,UZB,Uzbekistan,Former Soviet States,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
548,VUT,Vanuatu,Asia-Pacific,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False
862,VEN,Venezuela,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
704,VNM,Viet Nam,Asia-Pacific,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
876,WLF,Wallis and Futuna Islands,Asia-Pacific,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
732,ESH,Western Sahara,Greater Middle East,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
887,YEM,Yemen,Greater Middle East,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
894,ZMB,Zambia,Sub-Saharan Africa,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
716,ZWE,Zimbabwe,Sub-Saharan Africa,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
