"code","iso","country","CXN.raw.1970","CXN.raw.1980","CXN.raw.1989","CXN.raw.1990","CXN.raw.1991","CXN.raw.1992","CXN.raw.1993","CXN.raw.1994","CXN.raw.1995","CXN.raw.1996","CXN.raw.1997","CXN.raw.1998","CXN.raw.1999","CXN.raw.2000","CXN.raw.2001","CXN.raw.2002","CXN.raw.2003","CXN.raw.2004","CXN.raw.2005","CXN.raw.2006","CXN.raw.2007","CXN.raw.2008","CXN.raw.2009","CXN.raw.2010","CXN.raw.2011","CXN.raw.2012","CXN.raw.2013","CXN.raw.2014","CXN.raw.2015","CXN.raw.2016","CXN.raw.2017","CXN.raw.2018"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,0.08
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.008,0.056,0.073,0.073,NA,NA,NA,NA,0.07,0.08,NA,NA,0.08
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.32,0.32,0.39,0.39,0.45,0.48,0.53,0.56,0.6,0.61,0.65,0.65,0.65,0.65,0.68,0.72,0.72
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,0.036,0.035,0.171,0.196,0.311,0.477,0.864,0.98,0.98,0.98,0.98,1,1,1,1,1,NA,NA,1
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178,NA,NA,NA,NA,NA,NA,0.178
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115396004553707
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,0.502
51,"ARM","Armenia",NA,NA,NA,0.639,NA,NA,NA,NA,0.502,0.514,0.518,0.521,0.525,0.528,0.53,0.535,0.537,0.539,0.541,0.542,0.544,0.547,0.549,0.552,0.554,0.555,0.59,0.594,0.606,NA,NA,0.606
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133651281922844
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932,0.935,0.941,0.941,0.926,0.924,0.925,0.927,0.927
40,"AUT","Austria",NA,NA,NA,1,NA,NA,NA,NA,0.98,NA,NA,0.99,NA,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,0.135,0.136,0.136,0.139,0.138,0.141,0.141,0.141,0.144,0.184,0.185,0.189,NA,NA,0.189
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124489729983572
48,"BHR","Bahrain",NA,NA,NA,0.58,NA,NA,NA,NA,0.64,0.65,0.66,0.69,0.71,0.74,0.75,0.77,0.79,0.71,0.7,0.67,0.66,0.65,0.77,0.81,0.88,0.87,0.87,0.9,0.88,NA,NA,0.88
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,NA,NA,0.029
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103699874642403
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA,0.718
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,0.398,0.49,0.53,0.55,0.56,0.65,0.686,0.689,0.717,0.729,0.74,0.88,0.972,0.956,0.967,0.959,0.971,0.943,0.956,NA,NA,NA,NA,0.956
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA,NA,NA,NA,NA,NA,NA,0.106
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.042,NA,NA,NA,NA,NA,0.042
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,0.05
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.1
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,NA,0.319
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.022,0.028,0.028,0.03,0.032,0.036,0.036,0.036,0.036,NA,NA,0.036
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,0.19
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6585,NA,0.6585
92,"VGB","British Virgin Islands",NA,NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0.4
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,0.696,NA,NA,NA,NA,0.702,0.705,0.705,0.715,0.718,0.718,0.72,0.726,0.74,0.749,0.771,0.817,0.817,0.817,0.819,0.868,NA,NA,0.868
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.045,0.045,0.045,NA,NA,0.045
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173,NA,0.195,0.207,0.198,0.209,NA,NA,0.209
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,0.46
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,0.02
124,"CAN","Canada",NA,NA,NA,NA,0.624,NA,NA,0.675,NA,0.698,NA,NA,0.717,NA,NA,NA,NA,0.872,NA,0.864,NA,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,0.843
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157311128960156
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,0.03
152,"CHL","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209,0.394,0.422,0.657,0.716,0.733,0.82,0.823,0.826,0.833,0.869,0.906,1,0.999,0.999,0.998,NA,NA,0.998
156,"CHN","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208,0.243,0.275,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325
170,"COL","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.713,0.727,NA,0.908,0.915,0.897,0.898,NA,0.912,0.912,0.913,NA,NA,NA,0.913
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0256809788212792
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.117,NA,NA,0.117
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,0.12
191,"HRV","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086,0.089,0.22,NA,NA,NA,0.983,0.983,0.983,0.983,0.983,NA,NA,0.983
192,"CUB","Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,NA,NA,0.24
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119826993426672
196,"CYP","Cyprus",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
203,"CZE","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664,0.675,0.722,0.731,0.735,0.754,0.744,0.755,0.78,0.783,0.794,0.806,0.781,0.8,0.808,0.81,NA,NA,0.81
180,"COD","Dem. Rep. Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,0.04
208,"DNK","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,0.07
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
214,"DOM","Dominican Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12
218,"ECU","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,0.673
818,"EGY","Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,0.74
222,"SLV","El Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031,0.029,0.028,0.028,0.028,0.028,NA,NA,NA,NA,NA,0.028
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,0.25
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,0.23
233,"EST","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,0.73,0.74,0.79,0.79,0.84,0.85,0.85,0.865,0.867,0.868,0.872,0.87,NA,NA,NA,0.87
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0758513371001829
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,0.39
246,"FIN","Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1
250,"FRA","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956,NA,NA,0.958,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,0.08
266,"GAB","Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,0.06
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205678884181916
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0.8
276,"DEU","Germany",NA,NA,NA,NA,0.871,NA,NA,NA,0.886,NA,NA,NA,NA,NA,0.974,NA,NA,0.979,0.973,NA,0.999,NA,NA,1,1,1,1,NA,NA,NA,NA,1
288,"GHA","Ghana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,0.07
300,"GRC","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,0.873,0.873,0.881,NA,0.928,0.928,NA,NA,NA,0.928
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0952326387329252
320,"GTM","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,0.34
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,0.11
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,0.13
328,"GUY","Guyana",NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
332,"HTI","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,0.63
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,0.93
348,"HUN","Hungary",NA,NA,NA,0.394,NA,0.353,0.393,0.399,0.391,0.402,0.415,0.43,0.459,0.637,0.661,0.662,0.701,0.721,0.606,0.634,0.665,0.677,0.688,0.717,0.723,0.729,0.728,0.738,0.768,NA,NA,0.768
352,"ISL","Iceland",NA,NA,NA,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.14,0.22,0.39,0.39,0.56,0.56,0.56,0.96,NA,NA,1,NA,0.73,NA,NA,NA,NA,NA,NA,NA,0.73
356,"IND","India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117,NA,NA,NA,NA,NA,NA,0.117
360,"IDN","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,0.02
364,"IRN","Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373,NA,NA,NA,NA,NA,NA,0.373
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,0.204,0.271,NA,NA,0.271
372,"IRL","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,0.97,0.97,NA,NA,NA,0.97
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",NA,NA,NA,0.767,NA,NA,NA,NA,0.795,NA,NA,NA,NA,0.866,0.88,0.893,0.907,0.921,0.929,0.935,0.941,0.945,0.95,0.955,0.96,0.963,0.966,0.967,0.968,NA,NA,0.968
380,"ITA","Italy",0.14,0.3,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564,NA,NA,NA,NA,NA,NA,0.608,NA,NA,0.625,NA,NA,0.625
388,"JAM","Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,0.3
392,"JPN","Japan",0.16,0.3,NA,0.44,NA,NA,NA,NA,0.54,NA,NA,NA,NA,0.62,0.64,0.65,0.67,0.681,0.693,0.71,0.717,0.727,0.737,0.751,0.758,0.763,0.77,0.776,0.778,0.783,NA,0.783
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.6,0.62,0.63,0.63,0.65,0.67,0.597,0.597,0.597,0.621,NA,NA,0.621
398,"KAZ","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.456,0.522,0.516,0.516,0.603,0.596,0.595,0.627,0.571,NA,NA,0.571
404,"KEN","Kenya",NA,NA,NA,0.049,NA,NA,NA,NA,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,NA,NA,NA,NA,NA,0.049
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0184738161297436
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130224485410516
414,"KWT","Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097191792687766
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,0.07
