"code","iso","country","EEZ.raw.1990","EEZ.raw.1991","EEZ.raw.1992","EEZ.raw.1993","EEZ.raw.1994","EEZ.raw.1995","EEZ.raw.1996","EEZ.raw.1997","EEZ.raw.1998","EEZ.raw.1999","EEZ.raw.2000","EEZ.raw.2001","EEZ.raw.2002","EEZ.raw.2003","EEZ.raw.2004","EEZ.raw.2005","EEZ.raw.2006","EEZ.raw.2007","EEZ.raw.2008","EEZ.raw.2009","EEZ.raw.2010","EEZ.raw.2011","EEZ.raw.2012","EEZ.raw.2013","EEZ.raw.2014","EEZ.raw.2015","EEZ.raw.2016","EEZ.raw.2017","EEZ.raw.2018","EEZ.raw.2019","EEZ.raw.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845363,12177.2156845363,12177.2156845363,12177.2156845374,12177.2156845374,12177.2156845374,12177.2156845374,12177.2156845408,12177.2156845402,12177.2156845402,12177.2156845402,12177.2156845402,12177.2156845402,12177.2156845402,12177.2156845402,12177.2156845402,12177.2156845402
12,"DZA","Algeria",131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409022918,131425.409023071,131425.409023071,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087,131425.409023087
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"AGO","Angola",498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225
660,"AIA","Anguilla",90625.4314912755,90625.4314912755,90625.4314912755,90625.4314912755,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037,90625.4314913037
28,"ATG","Antigua and Barbuda",112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926407,112162.305926407,112162.305926407,112162.305926407,112162.305926407,112162.305926407,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505,112162.305926505
32,"ARG","Argentina",2897653.80351984,2897653.80351985,2897653.80351986,2897653.80351986,2897653.80351986,2897653.80351986,2897653.80351986,2897653.80351982,2897653.80351985,2897653.80351977,2897653.80351977,2897653.80351982,2897653.80351992,2897653.80351992,2897653.80351992,2897653.80351992,2897653.80351991,2897653.80351991,2897653.80351991,2897653.80351991,2897653.80351992,2897653.80351991,2897653.80351992,2897653.80351983,2897653.80351983,2897653.80351983,2897653.80351983,2897653.80351983,2897653.80351983,2897653.80351786,2897653.80351786
51,"ARM","Armenia",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,"ABW","Aruba",31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563
36,"AUS","Australia",9025415.79580947,9025415.79580946,9025415.79580944,9025415.7958094,9025415.79580964,9025415.79580964,9025415.79580963,9025415.79581039,9025415.79581039,9025415.79581044,9025415.79581035,9025415.7958103,9025415.79581039,9025415.79615521,9025415.79615524,9025415.7961565,9025415.79615602,9025415.79615645,9025415.79615626,9025415.79615526,9025415.79615536,9025415.79615513,9025415.79615512,9025415.79588383,9025415.79588345,9025415.79588332,9025415.79588341,9025415.79588285,9025415.79588275,9025415.79535766,9025415.79535766
40,"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"AZE","Azerbaijan",NA,NA,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351793,80681.4473351793,80681.4473351793,80681.4473351793,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257
44,"BHS","Bahamas",622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762921,622458.219762873,622458.219762873,622458.219762873,622458.219762873,622458.219762873,622458.219762873,622458.219762801,622458.219762934,622458.219762934,622458.219762934,622458.219762934,622458.219762934,622458.219762934,622458.21975936,622458.21975936,622458.21975936,622458.21975936,622458.21975936
48,"BHR","Bahrain",7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757157509,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757160305,7546.21757159314,7546.21757159314,7546.21757159314,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085,7546.21757160085
50,"BGD","Bangladesh",112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700916,112793.932700809,112793.932700809,112793.932700808,112793.932700808,112793.932700808,112793.932700808,112793.932700808,112793.932700808
52,"BRB","Barbados",186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341,186188.69778341
112,"BLR","Belarus",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"BEL","Belgium",3487.99333433688,3487.99333433688,3487.99333433688,3487.99333433688,3487.99333434087,3487.99333434087,3487.99333434087,3487.99333434087,3487.99333433699,3487.99333433699,3487.99333433699,3487.99333433699,3487.99333433699,3487.99333433699,3487.99333433699,3487.99333433699,3487.99333433598,3487.99333433598,3487.99333433598,3487.99333433598,3487.99333433598,3487.99333480063,3487.99333480063,3487.99333477031,3487.99333477031,3487.99333477031,3487.99333477031,3487.99333477031,3487.99333477031,3487.99333477031,3487.99333477031
84,"BLZ","Belize",34500.8911816354,34500.8911816354,34500.8911816354,34500.8911816354,34500.8911816353,34500.8911816353,34500.8911816353,34500.8911816881,34500.8911816881,34500.8911813778,34500.8911813778,34500.8911814233,34500.8911814233,34500.8911814275,34500.8911814275,34500.8911814275,34500.8911814275,34500.8911814275,34500.8911814275,34500.8911814275,34500.8911814275,34500.8911815123,34500.8911815123,34500.8911814654,34500.8911814654,34500.8911814654,34500.8911814654,34500.8911814654,34500.8911814654,34500.8911814654,34500.8911814654
204,"BEN","Benin",35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091,35740.574244091
60,"BMU","Bermuda",465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958054,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053,465727.317958053
64,"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"BOL","Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008,12.9862039109008
72,"BWA","Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"BRA","Brazil",3698542.58322505,3698542.58322506,3698542.58322497,3698542.58322491,3698542.58322497,3698542.58322498,3698542.58322499,3698542.58322498,3698542.58322504,3698542.5832251,3698542.58322522,3698542.58322547,3698542.58322556,3698542.58322559,3698542.58322511,3698542.58322495,3698542.58322495,3698542.58322473,3698542.58322474,3698542.58322529,3698542.58322519,3698542.5832252,3698542.58322526,3698542.58322526,3698542.58322511,3698542.58322511,3698542.5832251,3698542.58322509,3698542.58322509,3698542.58322585,3698542.58322586
92,"VGB","British Virgin Islands",81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728,81980.8130412728
96,"BRN","Brunei Darussalam",43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759,43424.7829732759
100,"BGR","Bulgaria",34767.3702727238,34767.3702727238,34767.3702727238,34767.3702727296,34767.3702727588,34767.3702727513,34767.3702727302,34767.3702727302,34767.3702727302,34767.3702727302,34767.3702727302,34767.3702727302,34767.3702727301,34767.3702727091,34767.370272723,34767.370272723,34767.370272723,34767.370272723,34767.3702727181,34767.3702727167,34767.3702727181,34767.3702727167,34767.3702727181,34767.3702727167,34767.3702727408,34767.3702727408,34767.3702727408,34767.3702727408,34767.3702727408,34767.3702727408,34767.3702727408
854,"BFA","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"BDI","Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"CPV","Cabo Verde",806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572,806497.020121572
116,"KHM","Cambodia",49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826,49004.3488537826
120,"CMR","Cameroon",15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693,15243.8827974693
124,"CAN","Canada",5744566.99786284,5744566.99786284,5744566.99786285,5744566.99786295,5744566.99786233,5744566.99786233,5744566.99786235,5744566.99786231,5744566.99786227,5744566.997863,5744566.99786301,5744566.99786361,5744566.9978636,5744566.9978636,5744566.99786344,5744566.99786359,5744566.9978636,5744566.99786369,5744566.99786369,5744566.99786349,5744566.99786363,5744566.99786375,5744566.9978638,5744566.99786381,5744566.99786388,5744566.99786397,5744566.99786355,5744566.99786351,5744566.99786193,5744566.99786193,5744566.99786188
136,"CYM","Cayman Islands",121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230357,121059.623230357,121059.623230357,121059.623230357,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"CHL","Chile",3676760.68362781,3676760.68362781,3676760.68362781,3676760.68362771,3676760.68362771,3676760.68362771,3676760.68362771,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362769,3676760.68362768,3676760.68362765,3676760.68362758,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.6836277,3676760.6836277,3676760.68362617,3676760.68362569,3676760.68362845
156,"CHN","China",1382159.87773722,1382159.87773722,1382159.87773722,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711
170,"COL","Colombia",780576.284759114,780576.284759114,780576.284759114,780576.284759114,780576.284759114,780576.284759114,780576.284759245,780576.284759245,780576.284759245,780576.284759146,780576.284759146,780576.284759146,780576.284759147,780576.284759146,780576.284759147,780576.28475916,780576.284755729,780576.284755729,780576.284755729,780576.284755729,780576.284755729,780576.284755763,780576.284755763,780576.284755763,780576.284755773,780576.284755878,780576.284755876,780576.284755879,780576.284748918,780576.284748918,780576.284748918
174,"COM","Comoros",232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728
184,"COK","Cook Islands",1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897777,1980804.08897777,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08899569,1980804.08899569,1980804.08899569
188,"CRI","Costa Rica",603010.807524828,603010.807524828,603010.807524847,603010.807524857,603010.807524857,603010.807524848,603010.807524859,603010.807524859,603010.807524859,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.807524855,603010.807524855,603010.807524855,603010.807524855,603010.807524855,603010.807524856,603010.807524856,603010.807524856,603010.807524856,603010.807524856,603010.807524856,603010.807524921,603010.807524921,603010.807524921
384,"CIV","Cote d'Ivoire",172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496
191,"HRV","Croatia",55526.8877255662,55526.8877255662,55526.8877255662,55526.8877255662,55526.8877255662,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877255551,55526.8877263857,55526.8877263857,55526.887726259,55526.8877262744,55526.8877262744,55526.8877262744,55526.8877262744
192,"CUB","Cuba",353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778826015,353970.778825997,353970.778825997,353970.778825997,353970.778825997,353970.778825997,353970.778825997,353970.778825997,353970.778825998,353970.778825998,353970.778826026,353970.778826026,353970.778826109,353970.778826109,353970.778826109,353970.778826109,353970.778826109,353970.778826109,353970.778826109,353970.778826109
531,"CUW","Curacao",25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061,25552.7879800061
196,"CYP","Cyprus",98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954137,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954932,98691.6179954433,98691.6179954433,98691.6179954899,98691.6179954899,98691.6179954899,98691.6179954899
203,"CZE","Czech Republic",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"COD","Dem. Rep. Congo",13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723,13450.4615012723
208,"DNK","Denmark",104662.293647363,104662.293647363,104662.293647363,104662.293647384,104662.29364742,104662.293647384,104662.293647438,104662.293647438,104662.293647438,104662.293646699,104662.293646659,104662.29364672,104662.29364672,104662.293646617,104662.293646712,104662.293647249,104662.293647673,104662.29364773,104662.293647548,104662.293647512,104662.293648823,104662.293648813,104662.29364882,104662.293648886,104662.293648891,104662.293648881,104662.293648881,104662.293648815,104662.293648889,104662.293648888,104662.293648888
262,"DJI","Djibouti",7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827660447,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079,7514.38827661079
212,"DMA","Dominica",28741.5520449646,28741.5520449646,28741.5520449646,28741.5520449646,28741.5520449646,28741.5520449646,28741.5520449646,28741.5520449646,28741.5520449646,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501,28741.5520449501
