"code","iso","country","MSW.raw.2017"
4,"AFG","Afghanistan",0
8,"ALB","Albania",0
12,"DZA","Algeria",0.916319999838433
20,"AND","Andorra",0.521
24,"AGO","Angola",0
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",0.750728
32,"ARG","Argentina",0.446158000027917
51,"ARM","Armenia",0
533,"ABW","Aruba",0.0913000000032905
36,"AUS","Australia",0.773211
40,"AUT","Austria",0.97184
31,"AZE","Azerbaijan",0
44,"BHS","Bahamas",0
48,"BHR","Bahrain",0.60383999996546
50,"BGD","Bangladesh",0.0498749999977163
52,"BRB","Barbados",0.672300000170923
112,"BLR","Belarus",0.7752
56,"BEL","Belgium",0.97558
84,"BLZ","Belize",0.169999999990136
204,"BEN","Benin",0.0575000000072893
60,"BMU","Bermuda",0.810578
64,"BTN","Bhutan",0.596809999997305
68,"BOL","Bolivia",0.311303999972961
70,"BIH","Bosnia and Herzegovina",0.278648729967967
72,"BWA","Botswana",0.00690000000028456
76,"BRA","Brazil",0.657588246618653
92,"VGB","British Virgin Islands",0.666489999853075
96,"BRN","Brunei Darussalam",0.424800000010173
100,"BGR","Bulgaria",0.836297080106277
854,"BFA","Burkina Faso",0.102400000013979
108,"BDI","Burundi",0
132,"CPV","Cabo Verde",0
116,"KHM","Cambodia",0
120,"CMR","Cameroon",0.102440000008378
124,"CAN","Canada",0.846786600089854
136,"CYM","Cayman Islands",0.1743
140,"CAF","Central African Republic",0
148,"TCD","Chad",0
152,"CHL","Chile",0.656925
156,"CHN","China",0.5181952
170,"COL","Colombia",1.04075999965432
174,"COM","Comoros",0
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",0.647944
384,"CIV","Cote d'Ivoire",0.021
191,"HRV","Croatia",0.799774560012092
192,"CUB","Cuba",0.258658400014992
531,"CUW","Curacao",0
196,"CYP","Cyprus",0.77522
203,"CZE","Czech Republic",0.89472
180,"COD","Dem. Rep. Congo",0.035280000001001
208,"DNK","Denmark",0.99754
262,"DJI","Djibouti",0
212,"DMA","Dominica",0.62416
214,"DOM","Dominican Republic",0.05727
218,"ECU","Ecuador",0.535572000004003
818,"EGY","Egypt",0.16315
222,"SLV","El Salvador",0.5552200000245
226,"GNQ","Equatorial Guinea",0
232,"ERI","Eritrea",0
233,"EST","Estonia",0.744039070063425
748,"SWZ","Eswatini",0
231,"ETH","Ethiopia",0
234,"FRO","Faeroe Islands",0.3149
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",0.399925000008184
246,"FIN","Finland",0.9769
250,"FRA","France",0.94828
258,"PYF","French Polynesia",0.3315
266,"GAB","Gabon",0
270,"GMB","Gambia",0
268,"GEO","Georgia",0
276,"DEU","Germany",0.97938
288,"GHA","Ghana",0
300,"GRC","Greece",0.83
304,"GRL","Greenland",0
308,"GRD","Grenada",0.788399999917863
320,"GTM","Guatemala",0.166176000008381
831,"GGY","Guernsey",NA
324,"GIN","Guinea",0.025
624,"GNB","Guinea-Bissau",0
328,"GUY","Guyana",0.441760400002231
332,"HTI","Haiti",0.00874719999897136
336,"VAT","Holy See",NA
340,"HND","Honduras",0.402695999922103
344,"HKG","Hong Kong",0
348,"HUN","Hungary",0.891584728017241
352,"ISL","Iceland",0.84802
356,"IND","India",0.160999999928742
360,"IDN","Indonesia",0.4976
364,"IRN","Iran",0.19018
368,"IRQ","Iraq",0
372,"IRL","Ireland",0.817315199865406
833,"IMN","Isle of Man",0.94905
376,"ISR","Israel",0.7225
380,"ITA","Italy",0.83684
388,"JAM","Jamaica",0.317440000030427
392,"JPN","Japan",0.8648
832,"JEY","Jersey",NA
400,"JOR","Jordan",0.4313
398,"KAZ","Kazakhstan",0.0216079999957079
404,"KEN","Kenya",0.0552
296,"KIR","Kiribati",0
689,"XKX","Kosovo",0
414,"KWT","Kuwait",0
417,"KGZ","Kyrgyzstan",0
418,"LAO","Laos",0.187
428,"LVA","Latvia",0.614326392065344
422,"LBN","Lebanon",0.614
426,"LSO","Lesotho",0
430,"LBR","Liberia",0
434,"LBY","Libya",0
438,"LIE","Liechtenstein",0.626555399913532
440,"LTU","Lithuania",0.8781
442,"LUX","Luxembourg",0.9618
446,"MAC","Macao",0.2
450,"MDG","Madagascar",0.00630000000053068
454,"MWI","Malawi",0
458,"MYS","Malaysia",0.814149999965338
462,"MDV","Maldives",0.096199999981088
466,"MLI","Mali",0
470,"MLT","Malta",0.9665
584,"MHL","Marshall Islands",0.2208
478,"MRT","Mauritania",0.124872
480,"MUS","Mauritius",0.98
484,"MEX","Mexico",0.74253
583,"FSM","Micronesia",0
498,"MDA","Moldova",0.13788
492,"MCO","Monaco",0.904
496,"MNG","Mongolia",0
499,"MNE","Montenegro",0.05256858
504,"MAR","Morocco",0.3956
508,"MOZ","Mozambique",0.0069
104,"MMR","Myanmar",0
516,"NAM","Namibia",0.04185
520,"NRU","Nauru",0
524,"NPL","Nepal",0.305217999992753
528,"NLD","Netherlands",1.002086
540,"NCL","New Caledonia",0
554,"NZL","New Zealand",0.68
558,"NIC","Nicaragua",0.114464000051051
562,"NER","Niger",0.01
566,"NGA","Nigeria",0.0768000000081116
570,"NIU","Niue",NA
408,"PRK","North Korea",NA
807,"MKD","North Macedonia",0.720504
578,"NOR","Norway",0.975942
512,"OMN","Oman",5.92e-05
586,"PAK","Pakistan",0.3108
585,"PLW","Palau",0
591,"PAN","Panama",0.419650000064696
598,"PNG","Papua New Guinea",0.4386
600,"PRY","Paraguay",0.349655999977762
604,"PER","Peru",0.299655600047049
608,"PHL","Philippines",0.173599999969929
616,"POL","Poland",0.91148
620,"PRT","Portugal",0.90206
634,"QAT","Qatar",0.602359999992248
178,"COG","Republic of Congo",0
642,"ROU","Romania",0.657612
643,"RUS","Russia",0.03195
646,"RWA","Rwanda",0
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",0.784
662,"LCA","Saint Lucia",0.775399999958772
670,"VCT","Saint Vincent and the Grenadines",0.728163799937672
882,"WSM","Samoa",0.5168
674,"SMR","San Marino",0.31084500002329
678,"STP","Sao Tome and Principe",0
682,"SAU","Saudi Arabia",0.614200000295429
686,"SEN","Senegal",0.00856800000081498
688,"SRB","Serbia",0.447183696086957
690,"SYC","Seychelles",0
694,"SLE","Sierra Leone",0
702,"SGP","Singapore",0.996
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",0.80596
705,"SVN","Slovenia",0.838122575982721
90,"SLB","Solomon Islands",0
706,"SOM","Somalia",0
710,"ZAF","South Africa",0.770400000173374
410,"KOR","South Korea",0.967031999742027
728,"SSD","South Sudan",0
724,"ESP","Spain",0.88982
144,"LKA","Sri Lanka",0.044475
275,"PSE","State of Palestine",0.2329
729,"SDN","Sudan",0.537919999886977
740,"SUR","Suriname",0
752,"SWE","Sweden",0.9984
756,"CHE","Switzerland",0.99
760,"SYR","Syria",0.16
158,"TWN","Taiwan",0
762,"TJK","Tajikistan",0
834,"TZA","Tanzania",0
764,"THA","Thailand",0.328800000007448
626,"TLS","Timor-Leste",0
768,"TGO","Togo",0.01026
776,"TON","Tonga",0.272
780,"TTO","Trinidad and Tobago",0.104
788,"TUN","Tunisia",0.3965
792,"TUR","Turkey",0.484659999872135
795,"TKM","Turkmenistan",0.592
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",0.127500000012533
800,"UGA","Uganda",0.0487499999992903
804,"UKR","Ukraine",0.730674000226348
784,"ARE","United Arab Emirates",0.267880000012
826,"GBR","United Kingdom",0.929144
840,"USA","United States of America",0.483192
858,"URY","Uruguay",0.488591999848169
860,"UZB","Uzbekistan",0
548,"VUT","Vanuatu",0.31449999999288
862,"VEN","Venezuela",0
704,"VNM","Viet Nam",0.228
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",0.13024
894,"ZMB","Zambia",0
716,"ZWE","Zimbabwe",0.1104
