"code","iso","country","PMD.raw.1990","PMD.raw.1991","PMD.raw.1992","PMD.raw.1993","PMD.raw.1994","PMD.raw.1995","PMD.raw.1996","PMD.raw.1997","PMD.raw.1998","PMD.raw.1999","PMD.raw.2000","PMD.raw.2001","PMD.raw.2002","PMD.raw.2003","PMD.raw.2004","PMD.raw.2005","PMD.raw.2006","PMD.raw.2007","PMD.raw.2008","PMD.raw.2009","PMD.raw.2010","PMD.raw.2011","PMD.raw.2012","PMD.raw.2013","PMD.raw.2014","PMD.raw.2015","PMD.raw.2016","PMD.raw.2017","PMD.raw.2018","PMD.raw.2019"
4,"AFG","Afghanistan",1057.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,979.9647,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144.182,NA,NA,NA,NA,1590.987,NA,NA,NA,1627.168
8,"ALB","Albania",1224.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,927.4055,NA,NA,NA,NA,884.6323,NA,NA,NA,839.5237
12,"DZA","Algeria",2492.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,2568.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969.872,NA,NA,NA,NA,1930.204,NA,NA,NA,1837.947
20,"AND","Andorra",451.8927,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.7054,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.1028,NA,NA,NA,NA,222.271,NA,NA,NA,182.052
24,"AGO","Angola",641.7462,NA,NA,NA,NA,NA,NA,NA,NA,NA,784.4109,NA,NA,NA,NA,NA,NA,NA,NA,NA,887.6266,NA,NA,NA,NA,1100.112,NA,NA,NA,1259.671
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1072.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,999.3889,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.3338,NA,NA,NA,NA,869.2557,NA,NA,NA,827.3669
32,"ARG","Argentina",961.4363,NA,NA,NA,NA,NA,NA,NA,NA,NA,755.4598,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.1717,NA,NA,NA,NA,624.5758,NA,NA,NA,580.4381
51,"ARM","Armenia",2297.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,2142.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,2229.555,NA,NA,NA,NA,2032.816,NA,NA,NA,1824.304
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",295.3911,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.8287,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.8075,NA,NA,NA,NA,115.5145,NA,NA,NA,107.2989
40,"AUT","Austria",953.7571,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.5672,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.4144,NA,NA,NA,NA,350.9884,NA,NA,NA,295.9315
31,"AZE","Azerbaijan",2372.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,2720.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,2869.81,NA,NA,NA,NA,2779.881,NA,NA,NA,2541.276
44,"BHS","Bahamas",1098.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,984.9132,NA,NA,NA,NA,NA,NA,NA,NA,NA,798.4017,NA,NA,NA,NA,821.2176,NA,NA,NA,788.2812
48,"BHR","Bahrain",4402.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,2780.875,NA,NA,NA,NA,2325.272,NA,NA,NA,2216.431
50,"BGD","Bangladesh",1064.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,1323.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,1485.378,NA,NA,NA,NA,1663.839,NA,NA,NA,1692.871
52,"BRB","Barbados",1271.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,898.4603,NA,NA,NA,NA,952.3028,NA,NA,NA,948.7944
112,"BLR","Belarus",2011.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,2175.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,2058.899,NA,NA,NA,NA,1396.293,NA,NA,NA,1195.923
56,"BEL","Belgium",1012.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,699.2302,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.2986,NA,NA,NA,NA,368.6939,NA,NA,NA,342.4386
84,"BLZ","Belize",714.9693,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.0665,NA,NA,NA,NA,969.6818,NA,NA,NA,965.602
204,"BEN","Benin",734.9285,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.0108,NA,NA,NA,NA,NA,NA,NA,NA,NA,850.9355,NA,NA,NA,NA,1076.959,NA,NA,NA,1061.57
60,"BMU","Bermuda",596.7701,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.0886,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.843,NA,NA,NA,NA,166.6087,NA,NA,NA,163.548
64,"BTN","Bhutan",588.3829,NA,NA,NA,NA,NA,NA,NA,NA,NA,772.2998,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208.47,NA,NA,NA,NA,1418.506,NA,NA,NA,1355.4
68,"BOL","Bolivia",2316.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1449.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1308.78,NA,NA,NA,NA,1189.459,NA,NA,NA,1178.304
70,"BIH","Bosnia and Herzegovina",1363.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,1601.578,NA,NA,NA,NA,1561.38,NA,NA,NA,1415.344
72,"BWA","Botswana",1069.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2308.394,NA,NA,NA,NA,2247.881,NA,NA,NA,2117.921
76,"BRA","Brazil",978.8284,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.9226,NA,NA,NA,NA,NA,NA,NA,NA,NA,741.6755,NA,NA,NA,NA,568.7507,NA,NA,NA,542.7444
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",742.6633,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.4546,NA,NA,NA,NA,NA,NA,NA,NA,NA,327.2001,NA,NA,NA,NA,470.4372,NA,NA,NA,427.3773
100,"BGR","Bulgaria",2506.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,2587.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1824.865,NA,NA,NA,NA,1529.958,NA,NA,NA,1473.653
854,"BFA","Burkina Faso",541.2889,NA,NA,NA,NA,NA,NA,NA,NA,NA,622.2034,NA,NA,NA,NA,NA,NA,NA,NA,NA,682.7457,NA,NA,NA,NA,858.9836,NA,NA,NA,825.0804
108,"BDI","Burundi",623.4895,NA,NA,NA,NA,NA,NA,NA,NA,NA,578.3533,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.0126,NA,NA,NA,NA,555.3164,NA,NA,NA,518.3767
132,"CPV","Cabo Verde",696.7424,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069.024,NA,NA,NA,NA,1649.065,NA,NA,NA,1866.343
116,"KHM","Cambodia",775.2262,NA,NA,NA,NA,NA,NA,NA,NA,NA,853.2501,NA,NA,NA,NA,NA,NA,NA,NA,NA,946.7309,NA,NA,NA,NA,868.6342,NA,NA,NA,870.6083
120,"CMR","Cameroon",1337.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1889.962,NA,NA,NA,NA,2248.681,NA,NA,NA,2226.939
124,"CAN","Canada",433.1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.36,NA,NA,NA,NA,147.2425,NA,NA,NA,142.2199
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",873.2488,NA,NA,NA,NA,NA,NA,NA,NA,NA,986.9409,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.614,NA,NA,NA,NA,1156.355,NA,NA,NA,1090.195
148,"TCD","Chad",570.7084,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.8374,NA,NA,NA,NA,NA,NA,NA,NA,NA,747.7457,NA,NA,NA,NA,906.9904,NA,NA,NA,895.6254
152,"CHL","Chile",936.4926,NA,NA,NA,NA,NA,NA,NA,NA,NA,752.7661,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.5408,NA,NA,NA,NA,659.528,NA,NA,NA,615.622
156,"CHN","China",1816.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,2067.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,2029.534,NA,NA,NA,NA,1921.886,NA,NA,NA,1743.355
170,"COL","Colombia",1076.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,830.4872,NA,NA,NA,NA,715.2706,NA,NA,NA,683.3372
174,"COM","Comoros",409.3543,NA,NA,NA,NA,NA,NA,NA,NA,NA,507.3216,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.6906,NA,NA,NA,NA,603.2236,NA,NA,NA,581.2652
184,"COK","Cook Islands",522.1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.0905,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.918,NA,NA,NA,NA,339.2196,NA,NA,NA,361.0425
188,"CRI","Costa Rica",528.1295,NA,NA,NA,NA,NA,NA,NA,NA,NA,602.8514,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.1392,NA,NA,NA,NA,547.4713,NA,NA,NA,527.7982
384,"CIV","Cote d'Ivoire",1138.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,1564.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,1376.368,NA,NA,NA,NA,1780.466,NA,NA,NA,1594.378
191,"HRV","Croatia",1770.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045.305,NA,NA,NA,NA,897.246,NA,NA,NA,776.5283
192,"CUB","Cuba",1146.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,785.7531,NA,NA,NA,NA,858.4599,NA,NA,NA,759.6774
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",1107.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,994.9063,NA,NA,NA,NA,NA,NA,NA,NA,NA,726.7189,NA,NA,NA,NA,579.8648,NA,NA,NA,502.8767
203,"CZE","Czech Republic",2230.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,960.1943,NA,NA,NA,NA,762.9111,NA,NA,NA,707.5552
180,"COD","Dem. Rep. Congo",763.2293,NA,NA,NA,NA,NA,NA,NA,NA,NA,690.1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.7453,NA,NA,NA,NA,788.2977,NA,NA,NA,805.677
208,"DNK","Denmark",996.8791,NA,NA,NA,NA,NA,NA,NA,NA,NA,632.9965,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.9249,NA,NA,NA,NA,269.6407,NA,NA,NA,249.5366
262,"DJI","Djibouti",942.1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,2172.122,NA,NA,NA,NA,2218.208,NA,NA,NA,2207.527
212,"DMA","Dominica",811.7182,NA,NA,NA,NA,NA,NA,NA,NA,NA,968.0545,NA,NA,NA,NA,NA,NA,NA,NA,NA,937.1187,NA,NA,NA,NA,1071.302,NA,NA,NA,1044.687
214,"DOM","Dominican Republic",501.5104,NA,NA,NA,NA,NA,NA,NA,NA,NA,641.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,934.2945,NA,NA,NA,NA,1233.494,NA,NA,NA,1167.147
218,"ECU","Ecuador",865.0229,NA,NA,NA,NA,NA,NA,NA,NA,NA,770.9572,NA,NA,NA,NA,NA,NA,NA,NA,NA,907.1865,NA,NA,NA,NA,825.3443,NA,NA,NA,783.848
818,"EGY","Egypt",5343.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,4609.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,4649.462,NA,NA,NA,NA,4388.482,NA,NA,NA,3993.224
222,"SLV","El Salvador",629.1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,750.0581,NA,NA,NA,NA,NA,NA,NA,NA,NA,694.6108,NA,NA,NA,NA,866.149,NA,NA,NA,822.2047
226,"GNQ","Equatorial Guinea",708.6238,NA,NA,NA,NA,NA,NA,NA,NA,NA,1118.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,1688.34,NA,NA,NA,NA,2160.859,NA,NA,NA,2134.169
232,"ERI","Eritrea",866.4067,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193.882,NA,NA,NA,NA,1261.645,NA,NA,NA,1386.758
233,"EST","Estonia",838.6404,NA,NA,NA,NA,NA,NA,NA,NA,NA,607.1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.6718,NA,NA,NA,NA,173.283,NA,NA,NA,137.9108
748,"SWZ","Eswatini",989.0698,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,1822.319,NA,NA,NA,NA,1704.902,NA,NA,NA,1701.306
231,"ETH","Ethiopia",420.6159,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.8014,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.2472,NA,NA,NA,NA,474.2205,NA,NA,NA,510.7255
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",640.9018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205.735,NA,NA,NA,NA,1227.751,NA,NA,NA,1312.777
246,"FIN","Finland",445.6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.9164,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.6449,NA,NA,NA,NA,77.7116,NA,NA,NA,75.4755
250,"FRA","France",594.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.9226,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.9304,NA,NA,NA,NA,257.856,NA,NA,NA,221.0708
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",1396.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,2165.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2349.23,NA,NA,NA,NA,2428.125,NA,NA,NA,2249.486
270,"GMB","Gambia",724.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.5117,NA,NA,NA,NA,NA,NA,NA,NA,NA,988.8108,NA,NA,NA,NA,1167.096,NA,NA,NA,1257.21
268,"GEO","Georgia",1976.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,1660.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464.033,NA,NA,NA,NA,1251.245,NA,NA,NA,1294.572
276,"DEU","Germany",1093.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.6945,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.8256,NA,NA,NA,NA,375.4855,NA,NA,NA,334.5227
288,"GHA","Ghana",1318.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,1645.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,1861.152,NA,NA,NA,NA,2232.213,NA,NA,NA,2172.547
300,"GRC","Greece",1016.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,750.3752,NA,NA,NA,NA,590.053,NA,NA,NA,523.7656
304,"GRL","Greenland",587.9346,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.5669,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.806,NA,NA,NA,NA,258.5524,NA,NA,NA,261.953
308,"GRD","Grenada",1165.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,1399.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292.815,NA,NA,NA,NA,1366.136,NA,NA,NA,1319.895
320,"GTM","Guatemala",977.1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,885.2465,NA,NA,NA,NA,998.8746,NA,NA,NA,933.7782
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",849.1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,895.1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,949.276,NA,NA,NA,NA,1082.166,NA,NA,NA,1052.74
624,"GNB","Guinea-Bissau",967.1487,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,1161.258,NA,NA,NA,NA,1291.252,NA,NA,NA,1251.362
328,"GUY","Guyana",2257.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096.625,NA,NA,NA,NA,2179.29,NA,NA,NA,1925.225
332,"HTI","Haiti",575.0833,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.9947,NA,NA,NA,NA,NA,NA,NA,NA,NA,643.5139,NA,NA,NA,NA,757.1629,NA,NA,NA,748.2233
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",439.5597,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.6483,NA,NA,NA,NA,NA,NA,NA,NA,NA,671.5579,NA,NA,NA,NA,834.7547,NA,NA,NA,763.2492
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",2044.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,1564.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209.24,NA,NA,NA,NA,987.5358,NA,NA,NA,877.0986
352,"ISL","Iceland",245.7161,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.5674,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.0509,NA,NA,NA,NA,77.2735,NA,NA,NA,71.6837
356,"IND","India",1841.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,2345.831,NA,NA,NA,NA,2808.193,NA,NA,NA,2706.533
360,"IDN","Indonesia",1193.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,1366.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,1505.466,NA,NA,NA,NA,1463.495,NA,NA,NA,1449.931
364,"IRN","Iran",2573.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,2512.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,1942.983,NA,NA,NA,NA,1771.736,NA,NA,NA,1563.801
368,"IRQ","Iraq",3535.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,3901.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,3802.645,NA,NA,NA,NA,3316.562,NA,NA,NA,3062.067
372,"IRL","Ireland",779.2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.1885,NA,NA,NA,NA,187.4865,NA,NA,NA,162.5857
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",1036.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,824.9328,NA,NA,NA,NA,NA,NA,NA,NA,NA,598.7005,NA,NA,NA,NA,505.3106,NA,NA,NA,439.7811
380,"ITA","Italy",1024.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,727.8445,NA,NA,NA,NA,NA,NA,NA,NA,NA,501.628,NA,NA,NA,NA,410.8644,NA,NA,NA,357.4916
388,"JAM","Jamaica",529.9264,NA,NA,NA,NA,NA,NA,NA,NA,NA,793.4891,NA,NA,NA,NA,NA,NA,NA,NA,NA,761.73,NA,NA,NA,NA,869.7674,NA,NA,NA,854.892
392,"JPN","Japan",428.0156,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.1947,NA,NA,NA,NA,262.7909,NA,NA,NA,256.0192
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",2427.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2276.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,1782.012,NA,NA,NA,NA,1570.982,NA,NA,NA,1426.959
398,"KAZ","Kazakhstan",1812.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,2206.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915.156,NA,NA,NA,NA,1718.873,NA,NA,NA,1555.808
404,"KEN","Kenya",416.7559,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.3737,NA,NA,NA,NA,NA,NA,NA,NA,NA,785.1384,NA,NA,NA,NA,857.9482,NA,NA,NA,687.6207
296,"KIR","Kiribati",637.8045,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,703.4514,NA,NA,NA,NA,656.9535,NA,NA,NA,784.7382
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",2423.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979.858,NA,NA,NA,NA,1766.278,NA,NA,NA,1695.366
417,"KGZ","Kyrgyzstan",1647.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,1740.598,NA,NA,NA,NA,1654.525,NA,NA,NA,1489.85
418,"LAO","Laos",898.6359,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.3137,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040.113,NA,NA,NA,NA,877.6968,NA,NA,NA,930.0564
428,"LVA","Latvia",1761.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,1414.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,1197.23,NA,NA,NA,NA,768.2986,NA,NA,NA,612.175
