"code","iso","country","TCC.raw.2001","TCC.raw.2002","TCC.raw.2003","TCC.raw.2004","TCC.raw.2005","TCC.raw.2006","TCC.raw.2007","TCC.raw.2008","TCC.raw.2009","TCC.raw.2010","TCC.raw.2011","TCC.raw.2012","TCC.raw.2013","TCC.raw.2014","TCC.raw.2015","TCC.raw.2016","TCC.raw.2017","TCC.raw.2018"
4,"AFG","Afghanistan",83,177,243,202,235,151,253,108,69,86,108,36,0,1,0,0,0,25
8,"ALB","Albania",3742,893,613,3250,696,964,5249,5494,1343,658,1191,5415,2579,1057,284,934,1695,2056
12,"DZA","Algeria",3464,3010,3830,4395,4471,5437,5221,8023,10550,2597,8409,10988,6968,9588,5740,8069,46356,5800
20,"AND","Andorra",2,0,0,22,2,6,1,5,2,1,0,7,3,1,2,0,4,15
24,"AGO","Angola",101322,61089,52510,71315,93515,76998,145409,103653,166109,159944,183111,180921,169001,212873,161864,229915,280727,242788
660,"AIA","Anguilla",4,0,1,9,4,1,9,10,2,0,1,2,1,0,0,0,1,0
28,"ATG","Antigua and Barbuda",23,19,18,26,62,62,37,47,61,18,26,33,22,25,9,14,72,163
32,"ARG","Argentina",147934,105098,249473,433858,367575,316764,425808,593275,310081,413514,499628,478680,377286,241349,180436,230369,234146,173123
51,"ARM","Armenia",130,174,396,83,104,131,54,115,203,162,173,201,41,38,2,30,42,6
533,"ABW","Aruba",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",219024,312285,374316,124934,177166,186461,373870,205920,204102,290979,121497,139961,260394,282105,261732,431325,237175,251345
40,"AUT","Austria",6946,10931,14503,14640,21710,12615,31770,26954,15941,16760,18137,11187,7668,9897,7965,17256,18446,26396
31,"AZE","Azerbaijan",553,1153,1039,586,243,527,506,469,368,551,148,596,150,326,26,24,77,76
44,"BHS","Bahamas",433,702,274,591,1450,1018,605,1949,824,402,623,371,1572,902,1087,3136,3705,912
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",4604,4004,2161,4295,3296,6878,4012,4485,5635,4685,4197,5370,6027,12072,12621,21227,28421,19366
52,"BRB","Barbados",13,11,2,7,10,3,32,14,13,17,18,119,5,1,2,14,16,23
112,"BLR","Belarus",18401,25442,32208,38677,36272,42353,32724,35977,35624,35819,45459,39667,28140,33688,33966,90703,78952,87627
56,"BEL","Belgium",973,2351,1891,4801,3035,6928,5996,7227,5184,10929,5021,5645,3322,4244,3423,4520,4143,4639
84,"BLZ","Belize",8218,13483,6851,4315,8111,4273,12276,8231,10280,9778,26428,11538,16392,16496,12289,20533,16383,11178
204,"BEN","Benin",3755,3484,3478,685,1593,1798,4670,480,4941,531,658,2871,1314,1361,596,2020,2240,1831
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
64,"BTN","Bhutan",292,223,541,1025,772,622,500,778,1188,4373,1093,767,476,1227,743,1979,1978,1247
68,"BOL","Bolivia",140476,178973,163981,203433,251018,216544,190166,370136,225441,452012,330495,273783,179998,257220,166447,470894,463525,302065
70,"BIH","Bosnia and Herzegovina",1501,692,307,4134,579,535,2685,1556,1301,908,974,2437,2582,1793,583,2314,1346,2679
72,"BWA","Botswana",131,21,8,50,48,40,32,25,41,31,22,14,13,16,0,1,1,3
76,"BRA","Brazil",2750399,3511492,3252334,3852915,3491031,2881038,2625890,2448311,1820738,2693234,1926498,2923506,1949096,2698139,2226546,5387136,4528439,2954272
92,"VGB","British Virgin Islands",4,3,2,3,4,3,6,7,5,4,15,1,2,0,0,3,229,6
96,"BRN","Brunei Darussalam",1252,1093,805,1205,1285,1016,1570,1308,2188,972,2646,1852,895,2235,1779,2592,951,812
100,"BGR","Bulgaria",8239,4657,5215,8200,6595,5195,9582,6472,6114,3581,3342,10023,3709,6712,7322,7415,7717,9794
854,"BFA","Burkina Faso",58,4,2,7,17,2,2,4,4,7,15,0,0,0,0,0,0,0
108,"BDI","Burundi",1429,993,1335,616,985,343,1881,2008,884,1910,970,875,1413,2057,1463,1594,1788,2895
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",28546,54950,56953,79388,64788,80693,77849,83657,121274,238325,192517,195962,190475,162103,132954,182782,118585,113396
120,"CMR","Cameroon",39242,28798,25385,23023,25184,36033,45958,35191,36106,58062,27679,51307,84690,182058,79043,116712,187442,120932
124,"CAN","Canada",1358644,2317637,1607863,2707385,2921760,2406936,2118625,1949548,1550855,2105577,2161446,2546188,2808178,2644224,2734121,2085149,2560515,2143626
136,"CYM","Cayman Islands",22,7,6,47,9,18,18,33,30,40,40,9,19,7,0,70,74,42
140,"CAF","Central African Republic",31306,34446,13741,14599,29345,57928,37336,31887,48283,48590,49176,57355,44220,57900,27338,51192,63967,40950
148,"TCD","Chad",882,1960,191,455,472,2986,1002,3401,1066,254,921,2492,2897,3005,2593,3168,6773,6937
152,"CHL","Chile",72767,78151,82926,85812,107033,92000,121749,123173,88617,91579,99444,175009,102362,119430,106190,114038,215103,76983
156,"CHN","China",230498,249359,261923,501925,383943,575829,653604,738758,600149,628458,599198,605639,441822,532165,490948,719479,644833,570044
170,"COL","Colombia",230619,182610,122692,254405,189158,190412,269551,232356,238474,197497,190267,228234,139149,202420,141139,291536,425780,353055
174,"COM","Comoros",37,42,27,40,87,13,78,34,112,93,122,128,1730,1473,430,124,308,219
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",15507,13334,8279,9795,16605,10091,11472,21924,22524,13181,10531,10391,7803,10963,3307,13817,22141,12372
384,"CIV","Cote d'Ivoire",122835,144698,86360,48089,65389,97854,90948,127675,108961,92576,124765,96190,175882,347082,152563,221309,357581,325008
191,"HRV","Croatia",3409,2346,1731,6767,2764,2213,3249,3904,2913,3513,2928,5025,3009,4576,2666,5416,5879,8325
192,"CUB","Cuba",19001,15067,6571,22025,12859,12326,7890,17122,16290,8635,16359,10364,6088,5876,6738,74222,77004,14989
531,"CUW","Curacao",1,1,1,1,1,3,4,5,5,2,2,7,6,2,1,2,1,1
196,"CYP","Cyprus",78,31,25,87,35,58,778,94,57,63,119,54,14,32,20,570,437,32
203,"CZE","Czech Republic",3470,6788,3938,13497,25634,8634,21387,16921,13550,15482,21916,14041,7683,13972,8065,22873,26572,39292
180,"COD","Dem. Rep. Congo",455888,514883,274970,400358,485694,453541,463231,405159,635776,811378,429877,631523,921332,1339040,928827,1382372,1469174,1374906
208,"DNK","Denmark",4341,1207,1582,2420,9075,5223,4394,6078,6671,4436,3140,4460,2018,5335,2590,4670,4377,3168
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",22,11,28,78,52,25,41,95,74,91,45,145,23,12,1,7,23399,787
214,"DOM","Dominican Republic",11304,10486,10761,19476,25193,13470,16143,21723,14019,14161,13015,17986,12754,13746,15155,25006,27183,14036
218,"ECU","Ecuador",45092,29875,13873,37321,40464,35679,60671,51989,57786,33821,43706,74359,48450,30955,30116,44099,71207,38761
818,"EGY","Egypt",141,42,58,99,51,35,72,79,58,93,96,439,97,111,30,34,57,65
222,"SLV","El Salvador",9583,4707,6041,4587,5931,4653,3002,3357,4321,2902,3275,2547,2067,2342,2401,5793,4788,2725
226,"GNQ","Equatorial Guinea",3594,2994,1967,421,1615,1256,3150,4826,5694,6600,7722,4962,7302,19275,7482,9571,11969,7840
232,"ERI","Eritrea",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",16961,22012,5656,18194,14894,21857,16270,18386,18931,21610,27327,17758,17163,23675,25530,36515,39077,40254
748,"SWZ","Eswatini",6755,3808,5782,5383,4556,9450,6483,4605,10671,6687,2636,3543,3140,4993,3237,4826,6401,1930
231,"ETH","Ethiopia",11955,13081,13944,13403,15888,12080,25624,24032,29306,20198,15481,41698,30880,32756,10288,19598,35446,18909
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",1098,705,1575,2089,1668,1875,2151,2388,1791,2348,554,1223,2702,3693,1843,8386,3094,1367
246,"FIN","Finland",151114,142533,89756,146692,230483,182418,152018,200329,176427,167635,159471,160434,148755,186745,172783,240595,336432,270144
250,"FRA","France",34466,33923,26412,76217,46437,55117,49314,87058,67116,143367,64130,67384,30391,44406,37336,60844,69334,69296
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",15101,13870,16859,9989,17710,19317,16521,17382,18268,10684,18174,17485,44484,48788,25496,32206,38682,26810
270,"GMB","Gambia",3,39,9,62,4,5,50,299,8,23,30,41,12,17,9,4,8,6
268,"GEO","Georgia",666,543,291,1972,549,535,993,749,451,820,540,472,248,110,40,528,207,297
276,"DEU","Germany",15347,15366,6476,45165,39926,42866,93636,61991,28904,76009,34430,26115,15559,21249,12972,26992,33136,52448
288,"GHA","Ghana",43742,78576,25024,17659,41443,27206,40265,37934,38342,19548,36333,36708,81417,120579,57530,119534,115578,151767
300,"GRC","Greece",12632,5130,2564,6817,4184,7353,46080,21208,6564,7799,6202,13252,5910,3807,3841,6037,8910,7132
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",33,67,72,638,48,33,68,64,94,160,41,40,25,84,7,59,27,110
320,"GTM","Guatemala",53456,55744,98348,56600,101000,52699,126814,77370,87146,59816,40689,84270,55294,61991,54299,178851,79940,71370
831,"GGY","Guernsey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,"GIN","Guinea",18588,28962,9239,17173,14598,15320,33866,21504,23422,16063,27662,24520,146367,132864,162021,216284,231880,183094
624,"GNB","Guinea-Bissau",2368,6081,1022,3550,3941,2019,6054,3255,7975,4909,4284,3517,20735,12885,12693,16140,16465,14412
328,"GUY","Guyana",10058,4842,7435,4073,5845,5943,5259,9479,8283,10136,8382,13144,7131,12183,13110,26578,19469,11799
332,"HTI","Haiti",2474,2124,1072,2391,2045,1166,2078,2196,2474,2089,2570,4287,3185,3866,3095,17363,5520,4140
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",42538,31632,33736,26562,40602,41781,42575,43438,51670,46232,52747,32429,43784,57677,50423,189149,113855,76480
344,"HKG","Hong Kong",6,15,6,17,7,21,28,27,50,12,14,14,4,26,23,43,92,158
348,"HUN","Hungary",7558,7754,5772,12067,10461,8033,9413,8942,10120,11306,8265,11973,8985,15199,10776,14075,14175,13856
352,"ISL","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,"IND","India",62441,53035,47782,74217,62567,67494,73976,86045,79339,51384,88585,95181,80943,139241,116374,175478,189677,132429
360,"IDN","Indonesia",744917,856270,545528,1291467,1183802,1434724,1389495,1398066,1947257,1280641,1545060,2262504,1140308,1896006,1747954,2424326,1301946,1219663
364,"IRN","Iran",328,556,323,274,168,137,129,367,188,196,233,406,69,76,0,2,107,68
368,"IRQ","Iraq",13,8,17,4,3,5,9,17,14,11,3,9,2,1,0,0,1,0
372,"IRL","Ireland",9573,5302,2265,6875,8106,5253,11699,6931,7242,3860,3112,5836,4779,5725,4489,9398,6136,8385
833,"IMN","Isle of Man",16,13,2,8,10,27,31,0,47,49,11,30,16,44,11,17,18,11
376,"ISR","Israel",147,113,30,67,138,131,48,65,93,89,1065,48,46,122,52,64,100,41
380,"ITA","Italy",9873,10947,3622,17255,10914,8912,11600,15174,14822,15838,11464,21525,15552,19875,14153,24754,34138,38895
388,"JAM","Jamaica",1247,1650,1030,3905,7610,2801,1273,2031,3542,2368,2387,2606,1327,2839,2915,1994,2203,2234
392,"JPN","Japan",24087,26214,19822,37472,36497,39103,45775,40966,41045,35877,36075,45831,23306,28248,31240,55185,47779,50702
832,"JEY","Jersey",3,0,0,1,0,0,0,2,1,7,3,7,0,0,0,0,1,0
400,"JOR","Jordan",1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0
398,"KAZ","Kazakhstan",4536,2953,3354,5512,3172,3140,4607,4619,6437,3108,4860,3747,2861,594,180,1292,973,1136
404,"KEN","Kenya",19107,20399,13621,17053,12802,20743,26213,19296,17750,22770,17364,17977,13622,15404,15654,19114,22235,15965
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,"KGZ","Kyrgyzstan",589,307,112,192,84,110,104,105,202,262,110,82,25,14,0,11,53,18
418,"LAO","Laos",36543,56022,87218,64347,68436,122890,133208,80754,145830,167412,131175,147779,205923,244242,285481,388725,349678,295107
428,"LVA","Latvia",24949,29227,21361,30687,40785,38955,36195,29355,34990,48594,44819,34340,27819,32263,30882,45028,47164,46999
422,"LBN","Lebanon",299,80,82,112,301,147,273,396,343,113,140,173,162,160,173,268,288,256
426,"LSO","Lesotho",0,2,2,3,2,1,2,6,4,2,2,2,9,13,1,15,7,9
430,"LBR","Liberia",29250,57110,21647,6251,11345,36298,44389,36251,75293,20401,34519,72273,155886,164414,186420,168939,203766,205400
434,"LBY","Libya",16,41,25,11,21,15,4,6,5,9,10,5,82,4,0,1,10,2
438,"LIE","Liechtenstein",3,0,0,9,4,12,8,10,4,2,2,3,1,3,1,6,3,7
440,"LTU","Lithuania",7984,10374,8938,13138,20434,17495,16069,15239,14439,21712,21791,17645,13957,16009,15825,25594,25861,19799
442,"LUX","Luxembourg",69,90,105,316,68,368,505,991,218,885,452,446,351,432,329,523,416,459
446,"MAC","Macao",1,1,0,0,0,4,5,3,2,1,0,1,0,1,1,0,4,1
450,"MDG","Madagascar",87015,89400,84297,81899,93687,71064,188679,123558,136596,107271,162416,128541,299515,416873,301967,383864,510639,366811
454,"MWI","Malawi",2497,4203,7138,5732,9471,5589,7519,9757,4042,4004,8245,12227,10617,18648,10846,13568,15364,15543
458,"MYS","Malaysia",332863,312861,184144,351969,375644,334038,405503,368078,623133,431045,463604,628738,333620,646325,454517,565505,483672,438371
462,"MDV","Maldives",5,5,2,2,4,4,6,7,5,3,11,2,4,3,0,0,0,0
466,"MLI","Mali",348,174,34,154,81,103,124,105,156,53,165,77,410,271,204,205,333,299
470,"MLT","Malta",0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,"MUS","Mauritius",157,155,119,330,175,143,131,189,243,24,488,155,220,533,0,0,0,0
484,"MEX","Mexico",158653,159118,152878,170246,207236,179458,219059,184749,281887,167089,187186,175087,219485,171130,198002,274798,299399,267731
583,"FSM","Micronesia",0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0
498,"MDA","Moldova",146,231,100,262,110,169,238,138,187,178,192,1782,169,366,499,841,1105,865
492,"MCO","Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,"MNG","Mongolia",21081,18746,38470,53347,7474,13260,48127,56069,81837,8769,3545,34680,626,516,7152,4148,25255,9227
499,"MNE","Montenegro",864,180,203,920,174,176,1057,1435,566,212,496,1264,2405,1445,183,1124,1272,1658
504,"MAR","Morocco",1873,3925,2046,1441,1526,2222,2513,3414,1197,989,3395,1692,838,1687,952,2043,2369,2083
508,"MOZ","Mozambique",60984,106766,79712,107803,150676,172313,138601,204971,217673,194693,150396,140086,162807,200691,181735,250837,359385,172586
104,"MMR","Myanmar",44830,66163,77272,102255,91916,127551,146692,119317,216461,170030,135823,225353,248364,331662,293493,362810,342077,278875
516,"NAM","Namibia",420,108,209,59,63,18,79,33,86,24,71,24,2,4,0,1,2,8
520,"NRU","Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,"NPL","Nepal",1525,2130,2292,2482,2759,3258,3469,2996,5532,2350,2822,5051,836,1163,582,999,2396,1673
528,"NLD","Netherlands",713,810,291,1283,1455,1472,1633,1144,1555,3416,1157,927,495,862,888,1411,1335,1270
540,"NCL","New Caledonia",700,630,884,1517,1477,2140,976,523,979,551,709,844,2287,2053,484,1326,1164,3077
554,"NZL","New Zealand",50558,63248,44819,60666,52547,61638,62683,61394,59627,56100,59947,69627,77563,79375,64051,80444,74868,79248
558,"NIC","Nicaragua",44188,54280,47062,21116,95320,38961,88649,53925,83248,212897,43372,33792,44107,75671,35585,142726,212105,71498
562,"NER","Niger",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,"NGA","Nigeria",43540,32411,13406,14672,13311,26220,24630,27541,25350,32867,54011,35068,43546,68819,41020,72372,171538,120143
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",11974,5368,7352,11381,16547,12618,13315,18826,13134,19051,5439,16710,5038,10959,10896,11533,8543,7707
807,"MKD","North Macedonia",2070,893,896,2211,1313,2048,3875,3974,4325,2238,2168,2955,1156,1817,784,1499,1147,1551
578,"NOR","Norway",22494,26690,14840,33831,24967,40737,31912,33887,23372,40221,32845,30013,33141,39228,36709,60213,58041,59355
512,"OMN","Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,"PAK","Pakistan",218,325,640,1168,949,1345,1122,1056,920,720,463,236,59,40,2,0,190,76
585,"PLW","Palau",53,78,18,29,42,36,92,66,30,34,31,28,21,94,0,0,0,4
591,"PAN","Panama",18319,19265,11324,16882,12385,34430,20700,40043,37047,15452,23162,17095,14075,14074,10572,17352,30959,28037
598,"PNG","Papua New Guinea",36028,54612,31827,58376,39039,56426,49205,71101,49248,68821,53097,73404,56709,105750,180931,178016,117590,118024
600,"PRY","Paraguay",150377,195319,267712,247616,262885,148420,426585,376663,353386,442568,457468,510636,318798,345985,279534,320032,360384,258940
604,"PER","Peru",86077,80519,73944,101430,163158,88990,115867,126728,178077,142451,125378,275705,209481,205609,166615,231145,303547,211896
608,"PHL","Philippines",35304,32432,35263,48741,49934,57629,66705,38816,61125,103061,33370,59818,59088,102859,66092,129572,114712,70764
616,"POL","Poland",19134,31182,33403,42028,82719,37811,57505,48132,47114,72091,56860,55085,35120,56468,42902,86823,96596,97169
620,"PRT","Portugal",24500,35021,26935,55551,39069,42744,36457,33762,40025,48659,26799,58505,52123,60531,46297,95086,174746,97884
634,"QAT","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"COG","Republic of Congo",27055,24330,18534,13856,18871,22178,29804,17396,19098,44710,28408,32181,54693,72964,47870,114379,63938,62762
642,"ROU","Romania",17629,16402,9438,18955,19475,13088,38268,17608,16204,17825,16979,30821,12987,19597,10907,23190,19278,19084
643,"RUS","Russia",1827563,2701945,3032037,3523283,1591170,2234672,2340420,3049692,2112886,1860846,3023841,5394023,4967849,4491866,2333514,5054305,5291839,5562810
646,"RWA","Rwanda",1520,944,1065,1121,826,747,1434,1101,1385,2453,930,1094,2483,2898,2223,2782,2734,4308
652,"BLM","Saint Barthelemy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,"KNA","Saint Kitts and Nevis",46,20,34,26,18,20,11,23,37,17,12,10,4,3,1,8,5,3
662,"LCA","Saint Lucia",31,10,19,41,53,98,49,55,56,100,63,67,36,43,6,109,84,35
670,"VCT","Saint Vincent and the Grenadines",6,8,9,20,17,11,23,41,30,65,31,24,13,10,1,17,31,17
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,"SMR","San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,"STP","Sao Tome and Principe",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,"SAU","Saudi Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,"SEN","Senegal",69,165,37,127,71,41,174,286,160,153,117,83,376,328,295,256,393,302
688,"SRB","Serbia",2389,1133,860,2639,1560,1898,2258,3267,2510,2473,2223,3498,2808,4401,2824,4700,3589,3980
690,"SYC","Seychelles",0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
694,"SLE","Sierra Leone",18617,15328,9109,4025,6881,28560,21899,20944,30585,8793,33969,16376,170507,161746,233042,177878,233009,188457
702,"SGP","Singapore",45,124,19,37,82,56,75,36,178,44,74,93,27,191,155,156,263,290
534,"SXM","Sint Maarten",1,0,2,1,4,2,5,2,3,0,3,0,3,0,0,0,5,0
703,"SVK","Slovakia",3913,4027,3774,4641,27803,8050,9521,13526,11278,17163,11579,9208,5090,17433,5306,17002,14263,17760
705,"SVN","Slovenia",614,722,532,1273,1962,1251,2122,1868,1958,1436,1446,911,632,5422,1023,5425,4915,8279
90,"SLB","Solomon Islands",2194,3878,2383,3557,6561,5090,5683,8204,6057,6439,5885,8834,9496,16993,15004,18057,19809,17866
706,"SOM","Somalia",337,254,104,215,274,120,272,252,307,140,187,193,316,123,65,89,308,42
710,"ZAF","South Africa",77678,47696,92613,72634,104694,104998,47126,81423,67309,61788,69654,84941,56400,69715,70197,73580,94112,63704
410,"KOR","South Korea",5515,4719,3623,11430,8940,10174,8116,14050,16450,14452,11732,15984,9485,13456,17398,22606,20815,21911
728,"SSD","South Sudan",4914,8148,2063,10448,10573,8970,9526,9014,8061,3886,9016,6710,4934,6756,2462,4070,6859,2643
724,"ESP","Spain",32839,37742,23352,67357,48993,72790,60324,44329,67618,56145,39345,80556,64008,74296,65456,107643,98538,119761
144,"LKA","Sri Lanka",3781,3451,3164,5626,4707,7769,10299,6526,14060,7270,14813,14511,7999,12417,7446,17593,13139,13233
275,"PSE","State of Palestine",2,2,1,0,0,1,0,2,1,1,0,0,0,1,0,0,1,2
729,"SDN","Sudan",26,76,19,13,100,3,186,55,82,42,206,14,9,5,8,27,75,16
740,"SUR","Suriname",3700,3723,4563,5434,3524,3414,3631,7534,7375,7015,5709,19542,10226,14779,11951,16920,18054,19036
752,"SWE","Sweden",145167,178534,92770,272004,249005,249542,183160,294217,208620,264099,205684,235311,197990,242973,216411,310864,331789,290642
756,"CHE","Switzerland",1174,883,433,3859,2346,2064,1866,2434,2291,1748,1953,1528,798,1516,772,1690,2558,3156
760,"SYR","Syria",267,146,113,104,792,280,1579,834,130,241,155,5387,1270,958,2397,1822,2152,906
158,"TWN","Taiwan",1162,1006,1124,1865,1525,2083,1730,2313,8176,2463,1463,1461,953,1055,945,3327,2584,1905
762,"TJK","Tajikistan",58,35,32,19,27,18,9,30,30,8,17,23,1,0,0,0,0,0
834,"TZA","Tanzania",82331,85171,84174,66976,91730,85413,121856,164450,143519,138669,137973,154605,181687,198474,112102,153022,195116,171929
764,"THA","Thailand",36195,61033,58606,92125,84519,100133,92905,80398,133105,135413,94847,114871,84974,137967,121126,172109,197000,133927
626,"TLS","Timor-Leste",679,1608,694,2069,1312,2942,1563,836,2649,656,1472,1900,470,1887,863,1297,1716,1245
768,"TGO","Togo",2778,2020,2055,2763,2050,1688,3190,1179,5585,515,1256,1750,2958,2530,942,3468,7196,6794
776,"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"TTO","Trinidad and Tobago",1837,727,727,736,1232,1760,1109,1272,1381,3414,374,716,761,1574,668,1356,740,949
788,"TUN","Tunisia",224,240,1550,318,630,346,874,719,982,400,2216,1422,1301,2389,1889,1459,8564,908
792,"TUR","Turkey",22921,25797,17766,29034,20425,25914,25395,28930,28133,17027,23938,28551,22576,22046,27782,25681,33986,35741
795,"TKM","Turkmenistan",47,106,84,28,30,13,37,76,13,9,17,9,0,1,0,0,0,0
796,"TCA","Turks and Caicos Islands",7,5,10,11,22,5,74,61,105,39,15,8,11,30,21,19,32,36
798,"TUV","Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,"UGA","Uganda",29779,10880,12035,18139,29284,28614,36736,37039,23387,34280,65276,29241,47868,55063,54175,67682,117253,86461
804,"UKR","Ukraine",28897,27147,39034,49605,36645,42241,64420,53154,48445,52582,60524,55674,37803,47306,49050,107057,86101,74620
784,"ARE","United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,"GBR","United Kingdom",23270,20130,1874,24880,8882,21108,31256,12515,37743,28505,22665,35696,28625,30396,24030,28850,23064,26278
840,"USA","United States of America",1945319,2040481,1651053,2748646,2693898,2608296,2437561,2216056,1610643,2169759,1665588,1966010,1738235,1738485,2291507,2266488,2314252,2094790
858,"URY","Uruguay",7658,6897,10640,15171,15962,21086,21571,23656,19328,17869,28061,31443,19313,25705,17582,23740,21894,19577
860,"UZB","Uzbekistan",290,259,47,42,15,52,38,36,96,27,29,50,23,83,0,0,1,0
548,"VUT","Vanuatu",125,107,528,379,259,223,108,194,1101,307,606,197,1112,641,3479,1338,434,1034
862,"VEN","Venezuela",124085,90520,87347,91130,95131,85634,114555,120787,142635,101416,74565,106150,64628,101127,61517,207596,167329,112307
704,"VNM","Viet Nam",47578,49729,43100,74109,102493,78977,80456,108581,138110,174731,131150,181746,132770,217924,218531,354505,287827,225816
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,"YEM","Yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,"ZMB","Zambia",30151,46280,41994,28510,57575,40532,53695,66234,117911,174170,60125,129663,84911,115307,87665,141757,162812,144073
716,"ZWE","Zimbabwe",8213,8028,7321,8432,11771,14905,9316,5448,19427,6649,9053,13821,9645,9662,12280,10972,26019,6568
